XCoord,YCoord,XCOORD,YCOORD,ID500M
4479750.00000000,3578750.00000000,4479750,3578750,500mE44795N35785
4480250.00000000,3578750.00000000,4480250,3578750,500mE44800N35785
4482250.00000000,3579750.00000000,4482250,3579750,500mE44820N35795
4484250.00000000,3580750.00000000,4484250,3580750,500mE44840N35805
4486250.00000000,3581750.00000000,4486250,3581750,500mE44860N35815
4488250.00000000,3582750.00000000,4488250,3582750,500mE44880N35825
4488750.00000000,3582750.00000000,4488750,3582750,500mE44885N35825
4489250.00000000,3582750.00000000,4489250,3582750,500mE44890N35825
4490750.00000000,3583750.00000000,4490750,3583750,500mE44905N35835
4491250.00000000,3583750.00000000,4491250,3583750,500mE44910N35835
4492750.00000000,3584750.00000000,4492750,3584750,500mE44925N35845
4493250.00000000,3584750.00000000,4493250,3584750,500mE44930N35845
4494750.00000000,3585750.00000000,4494750,3585750,500mE44945N35855
4495250.00000000,3585750.00000000,4495250,3585750,500mE44950N35855
4496750.00000000,3586750.00000000,4496750,3586750,500mE44965N35865
4497250.00000000,3586750.00000000,4497250,3586750,500mE44970N35865
4499250.00000000,3587750.00000000,4499250,3587750,500mE44990N35875
4499250.00000000,3588250.00000000,4499250,3588250,500mE44990N35880
4499250.00000000,3588750.00000000,4499250,3588750,500mE44990N35885
4499750.00000000,3588750.00000000,4499750,3588750,500mE44995N35885
4500250.00000000,3588750.00000000,4500250,3588750,500mE45000N35885
4499250.00000000,3589250.00000000,4499250,3589250,500mE44990N35890
4499750.00000000,3589250.00000000,4499750,3589250,500mE44995N35890
4500250.00000000,3589250.00000000,4500250,3589250,500mE45000N35890
4500250.00000000,3589750.00000000,4500250,3589750,500mE45000N35895
4500750.00000000,3589750.00000000,4500750,3589750,500mE45005N35895
4501250.00000000,3589750.00000000,4501250,3589750,500mE45010N35895
4500250.00000000,3590250.00000000,4500250,3590250,500mE45000N35900
4500750.00000000,3590250.00000000,4500750,3590250,500mE45005N35900
4501250.00000000,3590250.00000000,4501250,3590250,500mE45010N35900
4501250.00000000,3590750.00000000,4501250,3590750,500mE45010N35905
4501750.00000000,3590750.00000000,4501750,3590750,500mE45015N35905
4502250.00000000,3590750.00000000,4502250,3590750,500mE45020N35905
4504750.00000000,3590750.00000000,4504750,3590750,500mE45045N35905
4505250.00000000,3590750.00000000,4505250,3590750,500mE45050N35905
4502250.00000000,3591250.00000000,4502250,3591250,500mE45020N35910
4504750.00000000,3591250.00000000,4504750,3591250,500mE45045N35910
4503750.00000000,3591750.00000000,4503750,3591750,500mE45035N35915
4504250.00000000,3591750.00000000,4504250,3591750,500mE45040N35915
4507250.00000000,3591750.00000000,4507250,3591750,500mE45070N35915
4480750.00000000,3688250.00000000,4480750,3688250,500mE44805N36880
4481250.00000000,3688250.00000000,4481250,3688250,500mE44810N36880
4479250.00000000,3689250.00000000,4479250,3689250,500mE44790N36890
4477250.00000000,3690250.00000000,4477250,3690250,500mE44770N36900
4473750.00000000,3691250.00000000,4473750,3691250,500mE44735N36910
4474250.00000000,3691250.00000000,4474250,3691250,500mE44740N36910
4474750.00000000,3691250.00000000,4474750,3691250,500mE44745N36910
4475250.00000000,3691250.00000000,4475250,3691250,500mE44750N36910
